"Order","Family","Genus","SampleName"
"Asterales","Asteraceae","None","P001_WA02"
"Asterales","Asteraceae","None","P001_WA03"
"Asterales","Asteraceae","Ambrosia","P001_WA03"
"Solanales","Solanaceae","Solanum","P001_WA04"
"Apiales","Apiaceae","None","P001_WA04"
"Poales","Poaceae","None","P001_WA05"
"Fagales","Fagaceae","None","P001_WA05"
"Poales","Poaceae","Cenchrus","P001_WA07"
"Fabales","Fabaceae","Brachystegia","P001_WA08/P001_WF01"
"Asterales","Asteraceae","None","P001_WA08/P001_WF01"
"Fabales","Fabaceae","None","P001_WA08/P001_WF01"
"Gentianales","Apocynaceae","None","P001_WA08/P001_WF01"
"Laurales","Lauraceae","Cassytha","P001_WA08/P001_WF01"
"Sapindales","Rutaceae","None","P001_WA08/P001_WF01"
"Solanales","Solanaceae","Solanum","P001_WA08/P001_WF01"
"Fabales","Fabaceae","Indigofera","P001_WA08/P001_WF01"
"Liliales","Smilacaceae","Smilax","P001_WA08/P001_WF01"
"Zingiberales","None","None","P001_WA08/P001_WF01"
"Lamiales","Verbenaceae","None","P001_WA08/P001_WF01"
"Poales","Poaceae","Avena","P001_WB01"
"Polypodiales","Pteridaceae","None","P001_WB01"
"Solanales","Solanaceae","Solanum","P001_WB01"
"Polypodiales","Pteridaceae","Hemionitis","P001_WB01"
"Asterales","Asteraceae","None","P001_WB02"
"Asterales","Asteraceae","Xanthium","P001_WB02"
"Caryophyllales","Caryophyllaceae","None","P001_WB02"
"Caryophyllales","Caryophyllaceae","Drymaria","P001_WB02"
"Piperales","Piperaceae","Peperomia","P001_WB02"
"Poales","Poaceae","None","P001_WB02"
"Poales","Poaceae","Saccharum","P001_WB02"
"Rosales","Moraceae","None","P001_WB02"
"Apiales","Apiaceae","None","P001_WB03"
"Asterales","Asteraceae","None","P001_WB03"
"Poales","Poaceae","None","P001_WB03"
"Asterales","Asteraceae","Youngia","P001_WB04/P001_WB05"
"Caryophyllales","Caryophyllaceae","None","P001_WB04/P001_WB05"
"Caryophyllales","Polygonaceae","None","P001_WB04/P001_WB05"
"Hypnales","None","None","P001_WB04/P001_WB05"
"Poales","Poaceae","None","P001_WB04/P001_WB05"
"Pottiales","Pottiaceae","None","P001_WB04/P001_WB05"
"Rosales","Rosaceae","Rubus","P001_WB04/P001_WB05"
"Caryophyllales","Caryophyllaceae","Stellaria","P001_WB04/P001_WB05"
"Ophioglossales","Ophioglossaceae","Botrychium","P001_WB04/P001_WB05"
"Ericales","Actinidiaceae","None","P001_WB06"
"Ericales","Actinidiaceae","Actinidia","P001_WB06"
"Rosales","Cannabaceae","Cannabis","P001_WB06"
"Caryophyllales","Caryophyllaceae","Silene","P001_WB06"
"Malvales","Malvaceae","None","P001_WB07"
"Poales","Poaceae","None","P001_WB07"
"Oxalidales","Cunoniaceae","Opocunonia","P001_WB09/P001_WC09"
"Poales","Poaceae","None","P001_WB09/P001_WC09"
"Dipsacales","Adoxaceae","Sambucus","P001_WB10"
"Oxalidales","Cunoniaceae","None","P001_WB10"
"Oxalidales","Cunoniaceae","Opocunonia","P001_WB10"
"Myrtales","Myrtaceae","Syzygium","P001_WB10"
"Lamiales","Lamiaceae","Salvia","P001_WB12"
"Caryophyllales","Caryophyllaceae","Silene","P001_WC01"
"Commelinales","Commelinaceae","None","P001_WC02"
"Commelinales","Commelinaceae","Commelina","P001_WC02"
"Fabales","Fabaceae","None","P001_WC02"
"Poales","Poaceae","Aristida","P001_WC02"
"Poales","Poaceae","Oropetium","P001_WC02"
"Fabales","Fabaceae","Vigna","P001_WC02"
"Lamiales","Lamiaceae","None","P001_WC02"
"Caryophyllales","Caryophyllaceae","Silene","P001_WC04"
"Myrtales","None","None","P001_WC04"
"Myrtales","Myrtaceae","None","P001_WC04"
"Myrtales","Myrtaceae","Syzygium","P001_WC04"
"Pottiales","Pottiaceae","None","P001_WC04"
"Pottiales","Pottiaceae","None","P001_WC05"
"Caryophyllales","Caryophyllaceae","Silene","P001_WC07"
"Poales","Poaceae","None","P001_WC07"
"Poales","Poaceae","Saccharum","P001_WC07"
"Cupressales","Cupressaceae","None","P001_WC07"
"Rosales","Moraceae","None","P001_WC10"
"Rosales","Moraceae","Morus","P001_WC10"
"Poales","Poaceae","None","P001_WC11/P001_WD01"
"Poales","Poaceae","Saccharum","P001_WC11/P001_WD01"
"Zingiberales","None","None","P001_WC11/P001_WD01"
"Apiales","Apiaceae","None","P001_WC11/P001_WD01"
"Poales","Poaceae","None","P001_WC12"
"Vitales","None","None","P001_WD06"
"Vitales","Vitaceae","None","P001_WD06"
"Vitales","Vitaceae","Vitis","P001_WD06"
"Poales","Poaceae","None","P001_WD07"
"Poales","Poaceae","Saccharum","P001_WD07"
"Vitales","Vitaceae","Vitis","P001_WD07"
"Poales","Poaceae","None","P001_WD08"
"Poales","Poaceae","Saccharum","P001_WD08"
"Vitales","Vitaceae","None","P001_WD08"
"Vitales","Vitaceae","Vitis","P001_WD08"
"Poales","Poaceae","None","P001_WD09"
"Rosales","Ulmaceae","None","P001_WD09"
"Vitales","Vitaceae","None","P001_WD09"
"Vitales","Vitaceae","Vitis","P001_WD09"
"Caryophyllales","Caryophyllaceae","Silene","P001_WD09"
"Poales","Poaceae","Tripogonella","P001_WD09"
"Poales","Poaceae","Cenchrus","P001_WD09"
"Poales","Poaceae","None","P001_WD10"
"Vitales","Vitaceae","None","P001_WD10"
"Vitales","Vitaceae","Vitis","P001_WD10"
"Asterales","Asteraceae","None","P001_WD11/P001_WE01"
"Poales","Poaceae","None","P001_WD11/P001_WE01"
"Malvales","Malvaceae","Gossypium","P001_WD11/P001_WE01"
"Hypnales","None","None","P001_WE03"
"Hypnales","Neckeraceae","None","P001_WE03"
"Hypnales","None","None","P001_WE04"
"Hypnales","Neckeraceae","None","P001_WE04"
"Poales","Poaceae","None","P001_WE04"
"Hypnales","Neckeraceae","Thamnobryum","P001_WE04"
"Asterales","Asteraceae","Bidens","P001_WE04"
"Hypnales","None","None","P001_WE05"
"Hypnales","Neckeraceae","None","P001_WE05"
"Rosales","Moraceae","None","P001_WE06"
"Rosales","Moraceae","Morus","P001_WE06"
"Rosales","Rosaceae","Prunus","P001_WE06"
"Fabales","Fabaceae","Trifolium","P001_WE06"
"Rosales","Cannabaceae","Celtis","P001_WE07/P001_WE08/P001_WE09"
"Asparagales","Amaryllidaceae","Allium","P001_WE07/P001_WE08/P001_WE09"
"Asparagales","Amaryllidaceae","None","P001_WE07/P001_WE08/P001_WE09"
"Pinales","Pinaceae","Pinus","P001_WE07/P001_WE08/P001_WE09"
"Sapindales","Rutaceae","Citrus","P001_WE07/P001_WE08/P001_WE09"
"Apiales","Apiaceae","None","P001_WE07/P001_WE08/P001_WE09"
"Fagales","Fagaceae","None","P001_WE07/P001_WE08/P001_WE09"
"Asparagales","None","None","P001_WE07/P001_WE08/P001_WE09"
"Asterales","Asteraceae","None","P001_WE07/P001_WE08/P001_WE09"
"Asterales","Asteraceae","Bidens","P001_WE07/P001_WE08/P001_WE09"
"Laurales","Lauraceae","None","P001_WE07/P001_WE08/P001_WE09"
"Poales","Poaceae","None","P001_WE07/P001_WE08/P001_WE09"
"Poales","Poaceae","Brachypodium","P001_WE07/P001_WE08/P001_WE09"
"Sapindales","Rutaceae","None","P001_WE07/P001_WE08/P001_WE09"
"Fabales","Fabaceae","Phaseolus","P001_WE07/P001_WE08/P001_WE09"
"Sapindales","Rutaceae","None","P001_WE10"
"Sapindales","Rutaceae","Citrus","P001_WE10"
"Zingiberales","Musaceae","Musa","P001_WE10"
"Polypodiales","Nephrolepidaceae","Nephrolepis","P001_WE10"
"Fabales","Fabaceae","None","P001_WE11"
"Poales","Poaceae","None","P001_WE11"
"Poales","Poaceae","Saccharum","P001_WE11"
"Dipsacales","None","None","P001_WE12"
"Poales","Poaceae","None","P001_WE12"
"Poales","Poaceae","Saccharum","P001_WE12"
"Sapindales","Simaroubaceae","Ailanthus","P001_WE12"
"Myrtales","Melastomataceae","Miconia","P001_WE12"
"Hypnales","None","None","P001_WF03"
"Hypnales","Neckeraceae","None","P001_WF03"
"Hypnales","Neckeraceae","Thamnobryum","P001_WF03"
"Poales","Poaceae","None","P001_WF03"
"Asterales","Asteraceae","None","P001_WF04"
"Asterales","Asteraceae","Crepis","P001_WF04"
"Caryophyllales","Caryophyllaceae","None","P001_WF04"
"Caryophyllales","Caryophyllaceae","Silene","P001_WF04"
"Cornales","Cornaceae","Cornus","P001_WF04"
"Fabales","Fabaceae","None","P001_WF04"
"Fabales","Fabaceae","Medicago","P001_WF04"
"Fabales","Fabaceae","Trifolium","P001_WF04"
"Fagales","Betulaceae","None","P001_WF04"
"Fagales","Betulaceae","Corylus","P001_WF04"
"Rosales","Rhamnaceae","None","P001_WF04"
"Sapindales","Rutaceae","None","P001_WF04"
"Solanales","None","None","P001_WF04"
"Solanales","Solanaceae","Solanum","P001_WF04"
"Vitales","Vitaceae","None","P001_WF04"
"Vitales","Vitaceae","Vitis","P001_WF04"
"Commelinales","Commelinaceae","None","P001_WF04"
"Ericales","None","None","P001_WF04"
"Hypnales","None","None","P001_WF05"
"Ginkgoales","Ginkgoaceae","Ginkgo","P001_WF05"
"Klebsormidiales","Klebsormidiaceae","Klebsormidium","P001_WF06"
"Hypnales","None","None","P001_WF06"
"Fabales","Fabaceae","Brachystegia","P001_WF06"
"Caryophyllales","Caryophyllaceae","None","P001_WF07"
"Fabales","Fabaceae","None","P001_WF07"
"Fabales","Fabaceae","Medicago","P001_WF07"
"Caryophyllales","Caryophyllaceae","Silene","P001_WF07"
"Asterales","None","None","P001_WF09"
"Caryophyllales","Caryophyllaceae","None","P001_WF09"
"Vitales","Vitaceae","None","P001_WF09"
"Vitales","Vitaceae","Vitis","P001_WF09"
"Caryophyllales","Caryophyllaceae","Silene","P001_WF09"
"Sapindales","Rutaceae","None","P001_WF09"
"Vitales","Vitaceae","None","P001_WF10"
"Cupressales","Taxaceae","Taxus","P001_WF11/P001_WG10"
"Rosales","Ulmaceae","None","P001_WF11/P001_WG10"
"Rosales","Ulmaceae","Ulmus","P001_WF11/P001_WG10"
"Solanales","Solanaceae","None","P001_WF11/P001_WG10"
"Solanales","Solanaceae","Capsicum","P001_WF11/P001_WG10"
"Fabales","Fabaceae","Glycine","P001_WF11/P001_WG10"
"Fagales","None","None","P001_WF11/P001_WG10"
"Fagales","Fagaceae","None","P001_WF11/P001_WG10"
"Asterales","Asteraceae","Carthamus","P001_WF12"
"Caryophyllales","Polygonaceae","None","P001_WF12"
"Lamiales","Verbenaceae","Phyla","P001_WF12"
"Solanales","Solanaceae","None","P001_WG01"
"Caryophyllales","Caryophyllaceae","Silene","P001_WG01"
"Caryophyllales","Caryophyllaceae","Silene","P001_WG02"
"Ginkgoales","Ginkgoaceae","Ginkgo","P001_WG02"
"Poales","Poaceae","None","P001_WG02"
"Caryophyllales","Caryophyllaceae","Silene","P001_WG03"
"Caryophyllales","Caryophyllaceae","None","P001_WG06"
"Caryophyllales","Caryophyllaceae","Silene","P001_WG06"
"Poales","Poaceae","None","P001_WG06"
"Pottiales","Pottiaceae","None","P001_WG06"
"Caryophyllales","Caryophyllaceae","None","P001_WG07"
"Solanales","Solanaceae","None","P001_WG08"
"Malvales","Dipterocarpaceae","None","P001_WG09"
"Poales","Poaceae","None","P001_WG09"
"Poales","Poaceae","Saccharum","P001_WG09"
"Sapindales","Rutaceae","None","P001_WG09"
"Sapindales","Rutaceae","Citrus","P001_WG09"
"Poales","Cyperaceae","None","P001_WG11"
"Poales","Cyperaceae","Eleocharis","P001_WG11"
"Poales","Poaceae","Poa","P001_WG11"
"Poales","Poaceae","None","P001_WB08"
"Caryophyllales","Caryophyllaceae","Silene","P001_WC03"
"Caryophyllales","Caryophyllaceae","Silene","P001_WC08"
